id,Logexp,foldchange,pval,condition,control
CA_C0001,2.99363,0.17865,0.0032,BuOH.270,BuOH.75
CA_C0002,2.73912,0.10327,0.0032,BuOH.270,BuOH.75
CA_C0003,2.08908,-0.02413,0.00209,BuOH.270,BuOH.75
CA_C0004,2.95263,0.06586,0.0032,BuOH.270,BuOH.75
CA_C0005,2.17907,0.00343,0.00019,BuOH.270,BuOH.75
CA_C0006,3.22819,-0.12076,0.00433,BuOH.270,BuOH.75
CA_C0007,3.4759,-0.02515,0.0032,BuOH.270,BuOH.75
CA_C0008,1.3434,-0.00728,0.00019,BuOH.270,BuOH.75
CA_C0009,2.01886,-0.09169,0.0032,BuOH.270,BuOH.75
CA_C0010,2.82889,0.1928,0.00827,BuOH.270,BuOH.75
CA_C0011,1.77427,0.77144,0.22523,BuOH.270,BuOH.75
CA_C0012,2.50812,0.23514,0.0032,BuOH.270,BuOH.75
CA_C0013,1.71516,-0.02009,0.00105,BuOH.270,BuOH.75
CA_C0014,3.62681,-0.13325,0.0032,BuOH.270,BuOH.75
CA_C0015,3.77662,-0.26661,0.0032,BuOH.270,BuOH.75
CA_C0016,3.34755,-0.17666,0.0032,BuOH.270,BuOH.75
CA_C0017,3.60634,-0.26521,0.0032,BuOH.270,BuOH.75
CA_C0018,2.55612,0.1164,0.0032,BuOH.270,BuOH.75
CA_C0019,1.75569,-0.27771,0.0032,BuOH.270,BuOH.75
CA_C0020,1.95133,0.2969,0.0032,BuOH.270,BuOH.75
CA_C0021,2.98857,0.07914,0.0032,BuOH.270,BuOH.75
CA_C0022,3.03432,-0.32597,0.05068,BuOH.270,BuOH.75
CA_C0023,2.07668,-0.21382,0.00504,BuOH.270,BuOH.75
CA_C0024,2.84351,0.39419,0.04154,BuOH.270,BuOH.75
CA_C0025,1.84108,-0.02702,0.00214,BuOH.270,BuOH.75
CA_C0026,1.90602,-0.10764,0.0032,BuOH.270,BuOH.75
CA_C0027,2.36966,-0.14455,0.0032,BuOH.270,BuOH.75
CA_C0028,3.35378,0.13178,0.0032,BuOH.270,BuOH.75
CA_C0029,2.81761,-0.09813,0.0032,BuOH.270,BuOH.75
CA_C0030,2.99658,-0.34322,0.08398,BuOH.270,BuOH.75
CA_C0031,1.93134,-0.20344,0.0032,BuOH.270,BuOH.75
CA_C0032,2.48781,-0.09085,0.0032,BuOH.270,BuOH.75
CA_C0033,2.58129,-0.11336,0.0032,BuOH.270,BuOH.75
CA_C0034,2.59792,-0.32775,0.02233,BuOH.270,BuOH.75
CA_C0035,1.36663,0.12075,0.0032,BuOH.270,BuOH.75
CA_C0036,1.21304,0.10425,0.0032,BuOH.270,BuOH.75
CA_C0037,1.26714,0.31299,0.00675,BuOH.270,BuOH.75
CA_C0038,0.60294,-0.03648,0.00105,BuOH.270,BuOH.75
CA_C0039,2.04126,0.05504,0.0032,BuOH.270,BuOH.75
CA_C0040,1.68744,0.19602,0.0032,BuOH.270,BuOH.75
CA_C0041,1.24435,-0.30597,0.0032,BuOH.270,BuOH.75
CA_C0042,1.70139,-0.41946,0.02354,BuOH.270,BuOH.75
CA_C0043,1.15865,-0.20662,0.0032,BuOH.270,BuOH.75
CA_C0044,0.84178,-0.44577,0.00837,BuOH.270,BuOH.75
CA_C0045,1.71951,0.22684,0.0032,BuOH.270,BuOH.75
CA_C0046,1.11285,-0.00787,0.00019,BuOH.270,BuOH.75
CA_C0047,1.07374,-0.19117,0.0032,BuOH.270,BuOH.75
CA_C0048,1.20641,-0.22517,0.0032,BuOH.270,BuOH.75
CA_C0049,1.30261,-0.46686,0.01788,BuOH.270,BuOH.75
CA_C0050,0.72999,0.47269,0.00837,BuOH.270,BuOH.75
CA_C0051,0.60894,-0.29082,0.0032,BuOH.270,BuOH.75
CA_C0052,1.84921,0.55393,0.28392,BuOH.270,BuOH.75
CA_C0053,1.61557,0.29843,0.02354,BuOH.270,BuOH.75
CA_C0055,1.33388,-0.36942,0.01852,BuOH.270,BuOH.75
CA_C0056,2.21775,1.03405,0.40494,BuOH.270,BuOH.75
CA_C0057,2.42891,1.14161,0.58755,BuOH.270,BuOH.75
CA_C0058,1.77121,1.11322,0.37318,BuOH.270,BuOH.75
CA_C0059,1.9806,1.05728,0.46443,BuOH.270,BuOH.75
CA_C0060,2.70911,0.66958,0.19433,BuOH.270,BuOH.75
CA_C0061,2.88063,1.27753,0.88177,BuOH.270,BuOH.75
CA_C0062,2.18507,1.18319,0.83329,BuOH.270,BuOH.75
CA_C0063,3.14422,1.2407,0.83329,BuOH.270,BuOH.75
CA_C0064,1.80828,1.1554,0.65435,BuOH.270,BuOH.75
CA_C0065,1.96311,0.87256,0.26682,BuOH.270,BuOH.75
CA_C0066,1.85887,0.32536,0.01788,BuOH.270,BuOH.75
CA_C0067,1.57893,0.26459,0.0032,BuOH.270,BuOH.75
CA_C0068,1.7814,0.22054,0.0032,BuOH.270,BuOH.75
CA_C0069,1.48203,0.10475,0.0032,BuOH.270,BuOH.75
CA_C0070,2.06699,0.33044,0.01408,BuOH.270,BuOH.75
CA_C0071,1.50736,0.77834,0.1996,BuOH.270,BuOH.75
CA_C0072,0.72035,0.07346,0.00214,BuOH.270,BuOH.75
CA_C0073,2.27303,-0.09165,0.0032,BuOH.270,BuOH.75
CA_C0075,0.89938,0.19236,0.0032,BuOH.270,BuOH.75
CA_C0076,2.39367,0.27904,0.02233,BuOH.270,BuOH.75
CA_C0077,1.35518,-0.08928,0.0032,BuOH.270,BuOH.75
CA_C0078,3.53263,-0.33349,0.04154,BuOH.270,BuOH.75
CA_C0079,3.03998,-0.43232,0.06152,BuOH.270,BuOH.75
CA_C0080,2.55593,0.40085,0.20215,BuOH.270,BuOH.75
CA_C0081,2.08943,0.05847,0.0032,BuOH.270,BuOH.75
CA_C0082,3.75766,-0.25447,0.09718,BuOH.270,BuOH.75
CA_C0083,2.933,-0.17387,0.0032,BuOH.270,BuOH.75
CA_C0084,2.70511,0.03684,0.00249,BuOH.270,BuOH.75
CA_C0085,1.45251,0.06848,0.0032,BuOH.270,BuOH.75
CA_C0086,1.55059,0.56897,0.14484,BuOH.270,BuOH.75
CA_C0087,2.27665,-0.01356,0.00108,BuOH.270,BuOH.75
CA_C0088,2.33705,-0.11816,0.0032,BuOH.270,BuOH.75
CA_C0089,2.52584,-0.02437,0.00249,BuOH.270,BuOH.75
CA_C0090,2.63943,-0.12915,0.0032,BuOH.270,BuOH.75
CA_C0091,4.03471,0.32773,0.00827,BuOH.270,BuOH.75
CA_C0092,1.87108,1.10214,0.60818,BuOH.270,BuOH.75
CA_C0093,1.408,0.1899,0.0032,BuOH.270,BuOH.75
CA_C0094,2.99578,-0.7306,0.36024,BuOH.270,BuOH.75
