id,Logexp,foldchange,pval,condition,control
CA_C0001,2.99363,0.10352,0.00072,NS.270,BuOH.270
CA_C0002,2.73912,0.00311,0.00015,NS.270,BuOH.270
CA_C0003,2.08908,-0.05936,0.00072,NS.270,BuOH.270
CA_C0004,2.95263,0.06567,0.00072,NS.270,BuOH.270
CA_C0005,2.17907,0.11286,0.0045,NS.270,BuOH.270
CA_C0006,3.22819,0.28299,0.21765,NS.270,BuOH.270
CA_C0007,3.4759,0.19717,0.0815,NS.270,BuOH.270
CA_C0008,1.3434,0.0393,0.00072,NS.270,BuOH.270
CA_C0009,2.01886,0.04635,0.00072,NS.270,BuOH.270
CA_C0010,2.82889,-0.03802,0.00072,NS.270,BuOH.270
CA_C0011,1.77427,-0.93822,0.42485,NS.270,BuOH.270
CA_C0012,2.50812,-0.34167,0.0184,NS.270,BuOH.270
CA_C0013,1.71516,-0.04616,0.00072,NS.270,BuOH.270
CA_C0014,3.62681,0.90775,0.42784,NS.270,BuOH.270
CA_C0015,3.77662,0.90337,0.40099,NS.270,BuOH.270
CA_C0016,3.34755,1.0422,0.44379,NS.270,BuOH.270
CA_C0017,3.60634,1.0141,0.45328,NS.270,BuOH.270
CA_C0018,2.55612,0.74294,0.21765,NS.270,BuOH.270
CA_C0019,1.75569,0.50966,0.07692,NS.270,BuOH.270
CA_C0020,1.95133,0.78119,0.17092,NS.270,BuOH.270
CA_C0021,2.98857,-0.24238,0.05656,NS.270,BuOH.270
CA_C0022,3.03432,0.44308,0.21472,NS.270,BuOH.270
CA_C0023,2.07668,0.19188,0.01619,NS.270,BuOH.270
CA_C0024,2.84351,-0.04767,0.00072,NS.270,BuOH.270
CA_C0025,1.84108,-0.09391,0.00072,NS.270,BuOH.270
CA_C0026,1.90602,-0.21537,0.0184,NS.270,BuOH.270
CA_C0027,2.36966,-0.13374,0.0045,NS.270,BuOH.270
CA_C0028,3.35378,-0.08024,0.00072,NS.270,BuOH.270
CA_C0029,2.81761,0.01974,0.00072,NS.270,BuOH.270
CA_C0030,2.99658,0.25662,0.04184,NS.270,BuOH.270
CA_C0031,1.93134,0.17791,0.00616,NS.270,BuOH.270
CA_C0032,2.48781,0.20909,0.09277,NS.270,BuOH.270
CA_C0033,2.58129,0.43613,0.21385,NS.270,BuOH.270
CA_C0034,2.59792,0.3558,0.04183,NS.270,BuOH.270
CA_C0035,1.36663,-0.78805,0.1221,NS.270,BuOH.270
CA_C0036,1.21304,-0.75456,0.36997,NS.270,BuOH.270
CA_C0037,1.26714,-0.75039,0.2932,NS.270,BuOH.270
CA_C0038,0.60294,-0.69258,0,NS.270,BuOH.270
CA_C0039,2.04126,-0.53625,0.45057,NS.270,BuOH.270
CA_C0040,1.68744,-0.42475,0.03608,NS.270,BuOH.270
CA_C0041,1.24435,-0.29198,0.00951,NS.270,BuOH.270
CA_C0042,1.70139,-0.00519,0.00015,NS.270,BuOH.270
CA_C0043,1.15865,-0.29605,0.006,NS.270,BuOH.270
CA_C0044,0.84178,0.14552,0.00072,NS.270,BuOH.270
CA_C0045,1.71951,-0.61664,0.10352,NS.270,BuOH.270
CA_C0046,1.11285,-0.22179,0.00072,NS.270,BuOH.270
CA_C0047,1.07374,0.01743,0.00072,NS.270,BuOH.270
CA_C0048,1.20641,-0.06225,0.00072,NS.270,BuOH.270
CA_C0049,1.30261,0.18276,0.00072,NS.270,BuOH.270
CA_C0050,0.72999,-0.16476,0.00072,NS.270,BuOH.270
CA_C0051,0.60894,-0.13311,0.00072,NS.270,BuOH.270
CA_C0052,1.84921,-0.4784,0.20024,NS.270,BuOH.270
CA_C0053,1.61557,-0.03244,0.00072,NS.270,BuOH.270
CA_C0055,1.33388,0.38911,0.04074,NS.270,BuOH.270
CA_C0056,2.21775,-1.37236,0.86609,NS.270,BuOH.270
CA_C0057,2.42891,-1.78292,1.81742,NS.270,BuOH.270
CA_C0058,1.77121,-1.75912,1.2404,NS.270,BuOH.270
CA_C0059,1.9806,-1.46935,1.10966,NS.270,BuOH.270
CA_C0060,2.70911,-1.03001,0.73108,NS.270,BuOH.270
CA_C0061,2.88063,-1.698,2.13059,NS.270,BuOH.270
CA_C0062,2.18507,-1.75472,2.42895,NS.270,BuOH.270
CA_C0063,3.14422,-1.71405,2.07808,NS.270,BuOH.270
CA_C0064,1.80828,-1.75754,1.87367,NS.270,BuOH.270
CA_C0065,1.96311,-1.67624,1.48023,NS.270,BuOH.270
CA_C0066,1.85887,-1.01888,0.86149,NS.270,BuOH.270
CA_C0067,1.57893,-0.45055,0.06798,NS.270,BuOH.270
CA_C0068,1.7814,-0.38417,0.04267,NS.270,BuOH.270
CA_C0069,1.48203,-0.22058,0.00451,NS.270,BuOH.270
CA_C0070,2.06699,-0.6865,0.26678,NS.270,BuOH.270
CA_C0071,1.50736,-1.2784,0.89335,NS.270,BuOH.270
CA_C0072,0.72035,-0.31016,0.00279,NS.270,BuOH.270
CA_C0073,2.27303,0.3071,0.14024,NS.270,BuOH.270
CA_C0075,0.89938,0.01031,0.00072,NS.270,BuOH.270
CA_C0076,2.39367,0.17555,0.00752,NS.270,BuOH.270
CA_C0077,1.35518,0.21437,0.00352,NS.270,BuOH.270
CA_C0078,3.53263,0.35199,0.08083,NS.270,BuOH.270
CA_C0079,3.03998,0.29708,0.03085,NS.270,BuOH.270
CA_C0080,2.55593,-0.11424,0.00385,NS.270,BuOH.270
CA_C0081,2.08943,-0.06849,0.00072,NS.270,BuOH.270
CA_C0082,3.75766,0.16657,0.03353,NS.270,BuOH.270
CA_C0083,2.933,0.19014,0.01733,NS.270,BuOH.270
CA_C0084,2.70511,0.36078,0.07152,NS.270,BuOH.270
CA_C0085,1.45251,0.44422,0.04184,NS.270,BuOH.270
CA_C0086,1.55059,-0.37308,0.04223,NS.270,BuOH.270
CA_C0087,2.27665,0.02624,0.00072,NS.270,BuOH.270
CA_C0088,2.33705,-0.0538,0.00072,NS.270,BuOH.270
CA_C0089,2.52584,-0.10326,0.00294,NS.270,BuOH.270
CA_C0090,2.63943,0.14251,0.00959,NS.270,BuOH.270
CA_C0091,4.03471,0.33632,0.02323,NS.270,BuOH.270
CA_C0092,1.87108,0.00202,0.00015,NS.270,BuOH.270
CA_C0093,1.408,0.16913,0.00072,NS.270,BuOH.270
CA_C0094,2.99578,0.07835,0.00072,NS.270,BuOH.270
CA_C0095,2.25419,0.2267,0.00814,NS.270,BuOH.270
CA_C0096,1.81326,0.15391,0.00072,NS.270,BuOH.270
CA_C0097,2.15183,0.00459,0.00015,NS.270,BuOH.270
CA_C0098,2.49589,0.24284,0.0126,NS.270,BuOH.270
CA_C0099,2.52662,0.50902,0.17096,NS.270,BuOH.270
CA_C0100,2.68534,0.432,0.2188,NS.270,BuOH.270
CA_C0101,1.41354,-0.54625,0.08644,NS.270,BuOH.270
CA_C0102,2.99623,1.05751,0.17165,NS.270,BuOH.270
CA_C0103,2.50719,1.14703,0.21385,NS.270,BuOH.270
CA_C0104,3.1447,1.13916,0.20831,NS.270,BuOH.270
CA_C0105,2.33458,1.27571,0.29253,NS.270,BuOH.270
CA_C0106,3.08141,1.14461,0.21765,NS.270,BuOH.270
CA_C0107,3.00582,1.28527,0.29299,NS.270,BuOH.270
CA_C0108,2.83589,1.2314,0.2623,NS.270,BuOH.270
CA_C0109,3.13475,1.33581,0.32958,NS.270,BuOH.270
CA_C0110,3.34658,1.27193,0.28468,NS.270,BuOH.270
CA_C0111,2.92765,0.24007,0.00752,NS.270,BuOH.270
CA_C0112,2.77518,0.24697,0.00752,NS.270,BuOH.270
CA_C0113,2.7457,0.16158,0.0184,NS.270,BuOH.270
CA_C0114,2.56406,0.17668,0.00975,NS.270,BuOH.270
CA_C0115,3.51646,0.15428,0.00072,NS.270,BuOH.270
CA_C0116,3.77142,0.86338,0.46907,NS.270,BuOH.270
CA_C0117,1.41199,0.97848,0.20439,NS.270,BuOH.270
CA_C0118,1.59055,1.03667,0.28146,NS.270,BuOH.270
CA_C0119,0.70658,-0.17579,0.00072,NS.270,BuOH.270
CA_C0120,1.45278,-0.13124,0.00072,NS.270,BuOH.270
CA_C0121,1.20631,0.16664,0.00072,NS.270,BuOH.270
CA_C0122,2.21534,0.27282,0.07619,NS.270,BuOH.270
CA_C0123,2.00743,0.06117,0.00072,NS.270,BuOH.270
CA_C0124,0.49432,-0.4722,0,NS.270,BuOH.270
CA_C0125,2.88236,0.31128,0.26574,NS.270,BuOH.270
CA_C0126,2.8492,0.40927,0.09912,NS.270,BuOH.270
CA_C0127,3.10355,0.27309,0.11848,NS.270,BuOH.270
CA_C0128,2.31886,-0.5267,0.08098,NS.270,BuOH.270
CA_C0129,2.00601,0.28164,0.04184,NS.270,BuOH.270
CA_C0130,1.27193,-0.60406,0.10589,NS.270,BuOH.270
CA_C0132,1.31353,-0.6692,0.29289,NS.270,BuOH.270
CA_C0133,1.39723,-0.67847,0.24971,NS.270,BuOH.270
CA_C0134,1.13646,-0.70105,0.20818,NS.270,BuOH.270
CA_C0135,1.109,-0.22484,0.00072,NS.270,BuOH.270
CA_C0136,1.10013,0.17263,0.00072,NS.270,BuOH.270
CA_C0138,2.78437,0.38742,0.10216,NS.270,BuOH.270
CA_C0139,2.76521,0.23599,0.05656,NS.270,BuOH.270
CA_C0140,3.01006,0.32276,0.14775,NS.270,BuOH.270
CA_C0141,2.9101,0.21853,0.06492,NS.270,BuOH.270
CA_C0142,0.60436,0.72603,0,NS.270,BuOH.270
CA_C0143,0.93149,-1.12169,0.2157,NS.270,BuOH.270
CA_C0144,1.94424,0.08055,0.00072,NS.270,BuOH.270
CA_C0145,2.14887,0.1239,0.0045,NS.270,BuOH.270
CA_C0146,2.81009,0.20163,0.00712,NS.270,BuOH.270
CA_C0147,2.8953,0.08805,0.00072,NS.270,BuOH.270
CA_C0148,2.48472,0.24553,0.01733,NS.270,BuOH.270
CA_C0149,1.98643,-0.14693,0.00072,NS.270,BuOH.270
CA_C0150,2.09312,0.22268,0.02359,NS.270,BuOH.270
CA_C0151,2.19867,0.2289,0.01733,NS.270,BuOH.270
CA_C0152,2.549,-0.31936,0.02032,NS.270,BuOH.270
CA_C0153,1.94426,-0.20486,0.006,NS.270,BuOH.270
CA_C0154,1.07168,-0.95165,0.2932,NS.270,BuOH.270
CA_C0155,1.06541,-1.53436,0.70738,NS.270,BuOH.270
CA_C0156,0.67787,-0.91703,0.12964,NS.270,BuOH.270
CA_C0157,0.83027,-1.04398,0.23681,NS.270,BuOH.270
CA_C0158,3.13918,-0.4007,0.15262,NS.270,BuOH.270
CA_C0159,2.12575,0.14229,0.00072,NS.270,BuOH.270
CA_C0160,2.00351,0.1788,0.0045,NS.270,BuOH.270
CA_C0161,1.21767,0.12374,0.00072,NS.270,BuOH.270
CA_C0162,2.13202,0.0707,0.00072,NS.270,BuOH.270
CA_C0164,1.9415,-0.61511,0.3383,NS.270,BuOH.270
CA_C0165,2.00445,-0.86779,1.11682,NS.270,BuOH.270
CA_C0166,1.08451,-1.06775,0.32904,NS.270,BuOH.270
CA_C0167,2.20462,-0.17159,0.01411,NS.270,BuOH.270
CA_C0168,2.04626,-0.56085,0.39073,NS.270,BuOH.270
CA_C0169,0.95002,-0.09188,0.00072,NS.270,BuOH.270
CA_C0170,0.90466,0.05957,0.00072,NS.270,BuOH.270
CA_C0171,1.23455,-0.28115,0.02032,NS.270,BuOH.270
CA_C0172,0.87949,0.14709,0.00072,NS.270,BuOH.270
CA_C0173,1.81387,0.45965,0.08979,NS.270,BuOH.270
CA_C0174,2.09641,-0.02817,0.00072,NS.270,BuOH.270
CA_C0175,2.13426,-0.32502,0.0184,NS.270,BuOH.270
CA_C0176,2.307,-0.6024,0.90667,NS.270,BuOH.270
CA_C0177,1.90687,-0.04425,0.00072,NS.270,BuOH.270
