id,Logexp,foldchange,pval,condition,control
CA_C0001,2.99363,0.03326,0.00073,BuOH.15,NS.150
CA_C0002,2.73912,-0.08211,0.00073,BuOH.15,NS.150
CA_C0003,2.08908,-0.34476,0.00073,BuOH.15,NS.150
CA_C0004,2.95263,-0.07503,0.00073,BuOH.15,NS.150
CA_C0005,2.17907,-0.0649,0.00073,BuOH.15,NS.150
CA_C0006,3.22819,-0.04081,0.00073,BuOH.15,NS.150
CA_C0007,3.4759,-0.03824,0.00073,BuOH.15,NS.150
CA_C0008,1.3434,0.01963,0.00073,BuOH.15,NS.150
CA_C0009,2.01886,-0.0448,0.00073,BuOH.15,NS.150
CA_C0010,2.82889,0.10772,0.00073,BuOH.15,NS.150
CA_C0011,1.77427,-0.21165,0.00073,BuOH.15,NS.150
CA_C0012,2.50812,0.0756,0.00073,BuOH.15,NS.150
CA_C0013,1.71516,0.33839,0.00073,BuOH.15,NS.150
CA_C0014,3.62681,0.23046,0.00073,BuOH.15,NS.150
CA_C0015,3.77662,0.03889,0.00073,BuOH.15,NS.150
CA_C0016,3.34755,0.11548,0.00073,BuOH.15,NS.150
CA_C0017,3.60634,0.0166,0.00073,BuOH.15,NS.150
CA_C0018,2.55612,0.20616,0.00073,BuOH.15,NS.150
CA_C0019,1.75569,0.19538,0.00073,BuOH.15,NS.150
CA_C0020,1.95133,0.12379,0.00073,BuOH.15,NS.150
CA_C0021,2.98857,-0.19848,0.00073,BuOH.15,NS.150
CA_C0022,3.03432,0.40558,0.00073,BuOH.15,NS.150
CA_C0023,2.07668,0.17835,0.00073,BuOH.15,NS.150
CA_C0024,2.84351,0.21995,0.00073,BuOH.15,NS.150
CA_C0025,1.84108,-0.26155,0.00073,BuOH.15,NS.150
CA_C0026,1.90602,-0.53443,0.03064,BuOH.15,NS.150
CA_C0027,2.36966,-0.41648,0.00073,BuOH.15,NS.150
CA_C0028,3.35378,0.12018,0.00073,BuOH.15,NS.150
CA_C0029,2.81761,0.19336,0.00073,BuOH.15,NS.150
CA_C0030,2.99658,0.15333,0.00073,BuOH.15,NS.150
CA_C0031,1.93134,0.04546,0.00073,BuOH.15,NS.150
CA_C0032,2.48781,-0.02415,0.00073,BuOH.15,NS.150
CA_C0033,2.58129,0.33087,0.00073,BuOH.15,NS.150
CA_C0034,2.59792,0.24709,0.00073,BuOH.15,NS.150
CA_C0035,1.36663,-0.51653,0.00073,BuOH.15,NS.150
CA_C0036,1.21304,-0.97074,0.26156,BuOH.15,NS.150
CA_C0037,1.26714,-0.75701,0.06079,BuOH.15,NS.150
CA_C0038,0.60294,-1.00911,0.00073,BuOH.15,NS.150
CA_C0039,2.04126,-0.70415,0.49792,BuOH.15,NS.150
CA_C0040,1.68744,-0.11767,0.00073,BuOH.15,NS.150
CA_C0041,1.24435,-0.40264,0.00073,BuOH.15,NS.150
CA_C0042,1.70139,-0.48988,0.00073,BuOH.15,NS.150
CA_C0043,1.15865,-0.28152,0.00073,BuOH.15,NS.150
CA_C0044,0.84178,-0.04286,0.00073,BuOH.15,NS.150
CA_C0045,1.71951,-0.31382,0.00073,BuOH.15,NS.150
CA_C0046,1.11285,-0.28059,0.00073,BuOH.15,NS.150
CA_C0047,1.07374,0.21477,0.00073,BuOH.15,NS.150
CA_C0048,1.20641,-0.34385,0.00073,BuOH.15,NS.150
CA_C0049,1.30261,-0.25388,0.00073,BuOH.15,NS.150
CA_C0050,0.72999,0.41917,0.00073,BuOH.15,NS.150
CA_C0051,0.60894,-0.38188,0.00073,BuOH.15,NS.150
CA_C0052,1.84921,-0.19226,0.00073,BuOH.15,NS.150
CA_C0053,1.61557,0.31209,0.00073,BuOH.15,NS.150
CA_C0055,1.33388,0.08745,0.00073,BuOH.15,NS.150
CA_C0056,2.21775,-0.5088,0.00073,BuOH.15,NS.150
CA_C0057,2.42891,-0.66994,0.00073,BuOH.15,NS.150
CA_C0058,1.77121,-0.83698,0.00073,BuOH.15,NS.150
CA_C0059,1.9806,-0.62166,0.00073,BuOH.15,NS.150
CA_C0060,2.70911,-0.35174,0.00073,BuOH.15,NS.150
CA_C0061,2.88063,-0.53796,0.00073,BuOH.15,NS.150
CA_C0062,2.18507,-0.70098,0.00073,BuOH.15,NS.150
CA_C0063,3.14422,-0.53767,0.00073,BuOH.15,NS.150
CA_C0064,1.80828,-0.6692,0.00073,BuOH.15,NS.150
CA_C0065,1.96311,-0.6445,0.00073,BuOH.15,NS.150
CA_C0066,1.85887,-0.49059,0.00073,BuOH.15,NS.150
CA_C0067,1.57893,-0.11751,0.00073,BuOH.15,NS.150
CA_C0068,1.7814,-0.22893,0.00073,BuOH.15,NS.150
CA_C0069,1.48203,-0.32524,0.00073,BuOH.15,NS.150
CA_C0070,2.06699,-0.08612,0.00073,BuOH.15,NS.150
CA_C0071,1.50736,-0.41761,0.00073,BuOH.15,NS.150
CA_C0072,0.72035,-0.10961,0.00073,BuOH.15,NS.150
CA_C0073,2.27303,0.07018,0.00073,BuOH.15,NS.150
