id,Logexp,foldchange,pval,condition,control
CA_C0001,2.99363,-0.30019,0.17916,150,15
CA_C0002,2.73912,-0.1948,0.05302,150,15
CA_C0003,2.08908,-0.02389,0.00703,150,15
CA_C0004,2.95263,0.07716,0.00939,150,15
CA_C0005,2.17907,-0.11353,0.03653,150,15
CA_C0006,3.22819,-0.18905,0.17916,150,15
CA_C0007,3.4759,-0.1596,0.13113,150,15
CA_C0008,1.3434,-0.10775,0.00939,150,15
CA_C0009,2.01886,0.13062,0.03781,150,15
CA_C0010,2.82889,-0.16925,0.05861,150,15
CA_C0011,1.77427,0.10487,0.00939,150,15
CA_C0012,2.50812,0.31577,0.04769,150,15
CA_C0013,1.71516,0.38516,0.17681,150,15
CA_C0014,3.62681,0.46056,0.13077,150,15
CA_C0015,3.77662,0.42275,0.09888,150,15
CA_C0016,3.34755,0.51642,0.11857,150,15
CA_C0017,3.60634,0.45642,0.09872,150,15
CA_C0018,2.55612,0.50061,0.14223,150,15
CA_C0019,1.75569,-0.02074,0.00342,150,15
CA_C0020,1.95133,0.28463,0.02864,150,15
CA_C0021,2.98857,-0.12689,0.03735,150,15
CA_C0022,3.03432,0.35854,0.25818,150,15
CA_C0023,2.07668,-0.08364,0.01486,150,15
CA_C0024,2.84351,-0.67665,0.4957,150,15
CA_C0025,1.84108,-0.52009,0.56928,150,15
CA_C0026,1.90602,-0.2657,0.11215,150,15
CA_C0027,2.36966,-0.09392,0.01779,150,15
CA_C0028,3.35378,-0.15486,0.02864,150,15
CA_C0029,2.81761,-0.23104,0.06776,150,15
CA_C0030,2.99658,-0.36987,0.30474,150,15
CA_C0031,1.93134,0.18586,0.04769,150,15
CA_C0032,2.48781,0.09706,0.04769,150,15
CA_C0033,2.58129,-0.47306,0.46887,150,15
CA_C0034,2.59792,0.16121,0.02646,150,15
CA_C0035,1.36663,-0.55064,0.08039,150,15
CA_C0036,1.21304,-0.15301,0.02438,150,15
CA_C0037,1.26714,-0.31794,0.07708,150,15
CA_C0038,0.60294,-0.61877,0,150,15
CA_C0039,2.04126,-0.26435,0.17729,150,15
CA_C0040,1.68744,0.03815,0.00592,150,15
