id,Logexp,foldchange,pval,condition,control
CA_C0001,2.99363,0.0999,0.04488,NS.15,BuOH.270
CA_C0002,2.73912,0.07552,0.02733,NS.15,BuOH.270
CA_C0003,2.08908,-0.25896,0.15069,NS.15,BuOH.270
CA_C0004,2.95263,-0.24686,0.11882,NS.15,BuOH.270
CA_C0005,2.17907,-0.11833,0.06604,NS.15,BuOH.270
CA_C0006,3.22819,0.04758,0.03076,NS.15,BuOH.270
CA_C0007,3.4759,-0.10965,0.08569,NS.15,BuOH.270
CA_C0008,1.3434,-0.14827,0.03869,NS.15,BuOH.270
CA_C0009,2.01886,0.01412,0.00439,NS.15,BuOH.270
CA_C0010,2.82889,-0.05302,0.02254,NS.15,BuOH.270
CA_C0011,1.77427,-0.86661,0.68966,NS.15,BuOH.270
CA_C0012,2.50812,-0.50964,0.18913,NS.15,BuOH.270
CA_C0013,1.71516,0.01583,0.00265,NS.15,BuOH.270
CA_C0014,3.62681,0.17355,0.0468,NS.15,BuOH.270
CA_C0015,3.77662,0.13238,0.03359,NS.15,BuOH.270
CA_C0016,3.34755,-0.08947,0.02101,NS.15,BuOH.270
CA_C0017,3.60634,0.11408,0.02678,NS.15,BuOH.270
CA_C0018,2.55612,0.03074,0.0049,NS.15,BuOH.270
CA_C0019,1.75569,0.25512,0.07376,NS.15,BuOH.270
CA_C0020,1.95133,-0.19363,0.04531,NS.15,BuOH.270
CA_C0021,2.98857,-0.10253,0.05236,NS.15,BuOH.270
CA_C0022,3.03432,0.36275,0.26458,NS.15,BuOH.270
CA_C0023,2.07668,0.19505,0.09126,NS.15,BuOH.270
CA_C0024,2.84351,0.04648,0.01348,NS.15,BuOH.270
CA_C0025,1.84108,-0.16605,0.07695,NS.15,BuOH.270
CA_C0026,1.90602,-0.19739,0.08754,NS.15,BuOH.270
CA_C0027,2.36966,-0.09606,0.0417,NS.15,BuOH.270
CA_C0028,3.35378,0.13174,0.04916,NS.15,BuOH.270
CA_C0029,2.81761,-0.12913,0.04691,NS.15,BuOH.270
CA_C0030,2.99658,0.26109,0.15667,NS.15,BuOH.270
CA_C0031,1.93134,0.17401,0.06974,NS.15,BuOH.270
CA_C0032,2.48781,0.09445,0.06974,NS.15,BuOH.270
CA_C0033,2.58129,0.40727,0.34645,NS.15,BuOH.270
CA_C0034,2.59792,0.12607,0.04094,NS.15,BuOH.270
CA_C0035,1.36663,-0.42632,0.10707,NS.15,BuOH.270
CA_C0036,1.21304,-0.5208,0.30625,NS.15,BuOH.270
CA_C0037,1.26714,-0.55456,0.30434,NS.15,BuOH.270
CA_C0038,0.60294,-0.60488,0,NS.15,BuOH.270
CA_C0039,2.04126,-0.35287,0.31832,NS.15,BuOH.270
CA_C0040,1.68744,-0.21155,0.05499,NS.15,BuOH.270
CA_C0041,1.24435,0.21214,0.0545,NS.15,BuOH.270
CA_C0042,1.70139,-0.04221,0.0107,NS.15,BuOH.270
CA_C0043,1.15865,-0.11912,0.02518,NS.15,BuOH.270
CA_C0044,0.84178,-0.19187,0.0417,NS.15,BuOH.270
CA_C0045,1.71951,-0.49094,0.17119,NS.15,BuOH.270
CA_C0046,1.11285,-0.44958,0.11911,NS.15,BuOH.270
CA_C0047,1.07374,-0.14539,0.03279,NS.15,BuOH.270
CA_C0048,1.20641,-0.52842,0.13852,NS.15,BuOH.270
CA_C0049,1.30261,-0.03244,0.00452,NS.15,BuOH.270
