id,Logexp,foldchange,pval,condition,control
CA_C0001,2.99363,-0.04896,0.00069,BA.15,NS.15
CA_C0002,2.73912,-0.17744,0.00089,BA.15,NS.15
CA_C0003,2.08908,0.35605,0.00089,BA.15,NS.15
CA_C0004,2.95263,0.32956,0.00089,BA.15,NS.15
CA_C0005,2.17907,0.14539,0.00089,BA.15,NS.15
CA_C0006,3.22819,0.03802,0.00089,BA.15,NS.15
CA_C0007,3.4759,0.18658,0.00089,BA.15,NS.15
CA_C0008,1.3434,0.24268,0.00089,BA.15,NS.15
CA_C0009,2.01886,-0.05032,0.00089,BA.15,NS.15
CA_C0010,2.82889,-0.06088,0.00089,BA.15,NS.15
CA_C0011,1.77427,0.35929,0.00089,BA.15,NS.15
CA_C0012,2.50812,0.31327,0.00089,BA.15,NS.15
CA_C0013,1.71516,-0.18558,0.00089,BA.15,NS.15
CA_C0014,3.62681,0.2895,0.00089,BA.15,NS.15
CA_C0015,3.77662,0.45317,0.00089,BA.15,NS.15
CA_C0016,3.34755,0.7159,0.00089,BA.15,NS.15
CA_C0017,3.60634,0.53817,0.00089,BA.15,NS.15
CA_C0018,2.55612,0.33572,0.00089,BA.15,NS.15
CA_C0019,1.75569,-0.09583,0.00089,BA.15,NS.15
CA_C0020,1.95133,0.5497,0.00089,BA.15,NS.15
CA_C0021,2.98857,0.11191,0.00089,BA.15,NS.15
CA_C0022,3.03432,-0.17341,0.00089,BA.15,NS.15
CA_C0023,2.07668,-0.17102,0.00089,BA.15,NS.15
CA_C0024,2.84351,-0.2337,0.00089,BA.15,NS.15
CA_C0025,1.84108,0.25725,0.00089,BA.15,NS.15
CA_C0026,1.90602,0.26705,0.00089,BA.15,NS.15
CA_C0027,2.36966,0.23358,0.00089,BA.15,NS.15
CA_C0028,3.35378,-0.24409,0.00089,BA.15,NS.15
CA_C0029,2.81761,0.12038,0.00089,BA.15,NS.15
CA_C0030,2.99658,-0.24394,0.00089,BA.15,NS.15
CA_C0031,1.93134,0.00872,0.00024,BA.15,NS.15
CA_C0032,2.48781,0.0447,0.00089,BA.15,NS.15
CA_C0033,2.58129,-0.39104,0.00089,BA.15,NS.15
CA_C0034,2.59792,0.02574,0.00024,BA.15,NS.15
