id,Logexp,foldchange,pval,condition,control
CA_C0001,2.99363,0.18321,0.00206,NS.75,NS.150
CA_C0002,2.73912,-0.17434,0.00206,NS.75,NS.150
CA_C0003,2.08908,-0.55829,0.00206,NS.75,NS.150
CA_C0004,2.95263,-0.16973,0.00206,NS.75,NS.150
CA_C0005,2.17907,-0.16962,0.00206,NS.75,NS.150
CA_C0006,3.22819,-0.17777,0.00206,NS.75,NS.150
CA_C0007,3.4759,-0.1805,0.00206,NS.75,NS.150
CA_C0008,1.3434,0.10546,0.00206,NS.75,NS.150
CA_C0009,2.01886,-0.17929,0.00206,NS.75,NS.150
CA_C0010,2.82889,0.1548,0.00206,NS.75,NS.150
CA_C0011,1.77427,-0.04833,0.00206,NS.75,NS.150
CA_C0012,2.50812,0.05694,0.00206,NS.75,NS.150
CA_C0013,1.71516,0.22973,0.00206,NS.75,NS.150
CA_C0014,3.62681,0.32927,0.00206,NS.75,NS.150
CA_C0015,3.77662,0.08032,0.00206,NS.75,NS.150
CA_C0016,3.34755,0.09064,0.00206,NS.75,NS.150
CA_C0017,3.60634,0.07242,0.00206,NS.75,NS.150
CA_C0018,2.55612,0.36054,0.00206,NS.75,NS.150
CA_C0019,1.75569,-0.10638,0.00206,NS.75,NS.150
CA_C0020,1.95133,0.15444,0.00206,NS.75,NS.150
CA_C0021,2.98857,-0.01433,0.00206,NS.75,NS.150
CA_C0022,3.03432,0.478,0.00206,NS.75,NS.150
CA_C0023,2.07668,0.03343,0.00206,NS.75,NS.150
CA_C0024,2.84351,0.35548,0.00206,NS.75,NS.150
CA_C0025,1.84108,-0.27099,0.00206,NS.75,NS.150
CA_C0026,1.90602,-0.73635,0.00206,NS.75,NS.150
CA_C0027,2.36966,-0.44905,0.00206,NS.75,NS.150
CA_C0028,3.35378,0.35816,0.00206,NS.75,NS.150
CA_C0029,2.81761,0.16343,0.00206,NS.75,NS.150
CA_C0030,2.99658,-0.04578,0.00206,NS.75,NS.150
CA_C0031,1.93134,0.12257,0.00206,NS.75,NS.150
CA_C0032,2.48781,-0.07757,0.00206,NS.75,NS.150
CA_C0033,2.58129,0.32833,0.00206,NS.75,NS.150
CA_C0034,2.59792,0.16604,0.00206,NS.75,NS.150
CA_C0035,1.36663,-0.33437,0.00206,NS.75,NS.150
CA_C0036,1.21304,-0.94674,0.00206,NS.75,NS.150
CA_C0037,1.26714,-0.76895,0.00206,NS.75,NS.150
CA_C0038,0.60294,-0.96931,0.00206,NS.75,NS.150
CA_C0039,2.04126,-0.74033,0.23883,NS.75,NS.150
CA_C0040,1.68744,0.04948,0.00206,NS.75,NS.150
CA_C0041,1.24435,-0.47918,0.00206,NS.75,NS.150
CA_C0042,1.70139,-0.78448,0.00206,NS.75,NS.150
CA_C0043,1.15865,-0.69575,0.00206,NS.75,NS.150
CA_C0044,0.84178,-0.25552,0.00206,NS.75,NS.150
CA_C0045,1.71951,-0.36176,0.00206,NS.75,NS.150
CA_C0046,1.11285,-0.69267,0.00206,NS.75,NS.150
CA_C0047,1.07374,-0.21871,0.00206,NS.75,NS.150
CA_C0048,1.20641,-0.76311,0.00206,NS.75,NS.150
CA_C0049,1.30261,-0.34642,0.00206,NS.75,NS.150
CA_C0050,0.72999,0.46527,0.00206,NS.75,NS.150
CA_C0051,0.60894,-0.08691,0.00206,NS.75,NS.150
CA_C0052,1.84921,-0.04114,0.00206,NS.75,NS.150
CA_C0053,1.61557,0.34642,0.00206,NS.75,NS.150
CA_C0055,1.33388,-0.0677,0.00206,NS.75,NS.150
CA_C0056,2.21775,0.1849,0.00206,NS.75,NS.150
CA_C0057,2.42891,0.12136,0.00206,NS.75,NS.150
CA_C0058,1.77121,-0.17983,0.00206,NS.75,NS.150
CA_C0059,1.9806,0.15931,0.00206,NS.75,NS.150
CA_C0060,2.70911,0.20145,0.00206,NS.75,NS.150
CA_C0061,2.88063,0.25722,0.00206,NS.75,NS.150
CA_C0062,2.18507,0.08647,0.00206,NS.75,NS.150
CA_C0063,3.14422,0.15447,0.00206,NS.75,NS.150
CA_C0064,1.80828,-0.02835,0.00206,NS.75,NS.150
CA_C0065,1.96311,0.13172,0.00206,NS.75,NS.150
CA_C0066,1.85887,-0.19431,0.00206,NS.75,NS.150
CA_C0067,1.57893,0.2002,0.00206,NS.75,NS.150
CA_C0068,1.7814,-0.14841,0.00206,NS.75,NS.150
CA_C0069,1.48203,-0.21988,0.00206,NS.75,NS.150
CA_C0070,2.06699,0.18267,0.00206,NS.75,NS.150
CA_C0071,1.50736,0.21938,0.00206,NS.75,NS.150
CA_C0072,0.72035,0.04021,0.00206,NS.75,NS.150
CA_C0073,2.27303,0.07529,0.00206,NS.75,NS.150
CA_C0075,0.89938,0.83398,0.00206,NS.75,NS.150
CA_C0076,2.39367,0.26893,0.00206,NS.75,NS.150
CA_C0077,1.35518,0.60613,0.00206,NS.75,NS.150
CA_C0078,3.53263,0.39287,0.00206,NS.75,NS.150
CA_C0079,3.03998,0.01552,0.00206,NS.75,NS.150
CA_C0080,2.55593,0.09726,0.00206,NS.75,NS.150
CA_C0081,2.08943,-0.27602,0.00206,NS.75,NS.150
CA_C0082,3.75766,0.16414,0.00206,NS.75,NS.150
CA_C0083,2.933,0.08026,0.00206,NS.75,NS.150
CA_C0084,2.70511,0.20938,0.00206,NS.75,NS.150
CA_C0085,1.45251,0.5563,0.00206,NS.75,NS.150
CA_C0086,1.55059,0.32292,0.00206,NS.75,NS.150
CA_C0087,2.27665,0.11962,0.00206,NS.75,NS.150
CA_C0088,2.33705,-0.30939,0.00206,NS.75,NS.150
CA_C0089,2.52584,-0.16353,0.00206,NS.75,NS.150
CA_C0090,2.63943,-0.11187,0.00206,NS.75,NS.150
CA_C0091,4.03471,-0.45597,0.00206,NS.75,NS.150
CA_C0092,1.87108,-0.08939,0.00206,NS.75,NS.150
CA_C0093,1.408,0.24346,0.00206,NS.75,NS.150
CA_C0094,2.99578,-0.3076,0.00206,NS.75,NS.150
CA_C0095,2.25419,-0.23601,0.00206,NS.75,NS.150
CA_C0096,1.81326,-0.43408,0.00206,NS.75,NS.150
CA_C0097,2.15183,-0.02673,0.00206,NS.75,NS.150
CA_C0098,2.49589,-0.1626,0.00206,NS.75,NS.150
CA_C0099,2.52662,-0.18671,0.00206,NS.75,NS.150
CA_C0100,2.68534,0.22982,0.00206,NS.75,NS.150
CA_C0101,1.41354,-0.47357,0.00206,NS.75,NS.150
CA_C0102,2.99623,0.33271,0.00206,NS.75,NS.150
CA_C0103,2.50719,0.10055,0.00206,NS.75,NS.150
CA_C0104,3.1447,0.26678,0.00206,NS.75,NS.150
CA_C0105,2.33458,0.11278,0.00206,NS.75,NS.150
CA_C0106,3.08141,0.39285,0.00206,NS.75,NS.150
CA_C0107,3.00582,0.79339,0.00206,NS.75,NS.150
CA_C0108,2.83589,0.85178,0.00206,NS.75,NS.150
CA_C0109,3.13475,0.53015,0.00206,NS.75,NS.150
CA_C0110,3.34658,0.35116,0.00206,NS.75,NS.150
CA_C0111,2.92765,1.03443,0.00206,NS.75,NS.150
CA_C0112,2.77518,0.94124,0.00206,NS.75,NS.150
CA_C0113,2.7457,-0.02187,0.00206,NS.75,NS.150
CA_C0114,2.56406,0.20038,0.00206,NS.75,NS.150
CA_C0115,3.51646,-0.0997,0.00206,NS.75,NS.150
CA_C0116,3.77142,0.13393,0.00206,NS.75,NS.150
CA_C0117,1.41199,0.24979,0.00206,NS.75,NS.150
CA_C0118,1.59055,0.21052,0.00206,NS.75,NS.150
CA_C0119,0.70658,0.22299,0.00206,NS.75,NS.150
CA_C0120,1.45278,0.40275,0.00206,NS.75,NS.150
CA_C0121,1.20631,0.51898,0.00206,NS.75,NS.150
CA_C0122,2.21534,-0.25957,0.00206,NS.75,NS.150
CA_C0123,2.00743,-0.1655,0.00206,NS.75,NS.150
CA_C0124,0.49432,0.41714,0.00206,NS.75,NS.150
CA_C0125,2.88236,-0.23703,0.00206,NS.75,NS.150
CA_C0126,2.8492,0.05549,0.00206,NS.75,NS.150
CA_C0127,3.10355,0.12792,0.00206,NS.75,NS.150
CA_C0128,2.31886,-0.24631,0.00206,NS.75,NS.150
CA_C0129,2.00601,-0.03243,0.00206,NS.75,NS.150
CA_C0130,1.27193,0.21246,0.00206,NS.75,NS.150
CA_C0132,1.31353,-0.31137,0.00206,NS.75,NS.150
CA_C0133,1.39723,-0.36671,0.00206,NS.75,NS.150
CA_C0134,1.13646,-0.59612,0.00206,NS.75,NS.150
CA_C0135,1.109,-1.39011,0.00206,NS.75,NS.150
CA_C0136,1.10013,-0.55488,0.00206,NS.75,NS.150
CA_C0138,2.78437,-0.19798,0.00206,NS.75,NS.150
CA_C0139,2.76521,0.10171,0.00206,NS.75,NS.150
CA_C0140,3.01006,-0.00367,0.00157,NS.75,NS.150
CA_C0141,2.9101,-0.12657,0.00206,NS.75,NS.150
CA_C0142,0.60436,0.65017,0.00206,NS.75,NS.150
CA_C0143,0.93149,0.88636,0.00206,NS.75,NS.150
CA_C0144,1.94424,-0.74946,0.00206,NS.75,NS.150
CA_C0145,2.14887,-0.25925,0.00206,NS.75,NS.150
CA_C0146,2.81009,0.30929,0.00206,NS.75,NS.150
CA_C0147,2.8953,-0.12896,0.00206,NS.75,NS.150
CA_C0148,2.48472,0.36569,0.00206,NS.75,NS.150
CA_C0149,1.98643,0.66755,0.00206,NS.75,NS.150
CA_C0150,2.09312,0.18985,0.00206,NS.75,NS.150
CA_C0151,2.19867,0.22518,0.00206,NS.75,NS.150
CA_C0152,2.549,-0.28318,0.00206,NS.75,NS.150
CA_C0153,1.94426,-0.01397,0.00206,NS.75,NS.150
CA_C0154,1.07168,-0.48132,0.00206,NS.75,NS.150
CA_C0155,1.06541,-0.35643,0.00206,NS.75,NS.150
CA_C0156,0.67787,-0.8652,0.00206,NS.75,NS.150
CA_C0157,0.83027,-0.8215,0.00206,NS.75,NS.150
CA_C0158,3.13918,0.06779,0.00206,NS.75,NS.150
CA_C0159,2.12575,0.14277,0.00206,NS.75,NS.150
CA_C0160,2.00351,0.36329,0.00206,NS.75,NS.150
CA_C0161,1.21767,-0.76498,0.00206,NS.75,NS.150
CA_C0162,2.13202,0.44415,0.00206,NS.75,NS.150
CA_C0164,1.9415,0.25659,0.00206,NS.75,NS.150
CA_C0165,2.00445,0.15845,0.00206,NS.75,NS.150
CA_C0166,1.08451,0.45392,0.00206,NS.75,NS.150
CA_C0167,2.20462,-0.07089,0.00206,NS.75,NS.150
CA_C0168,2.04626,0.23913,0.00206,NS.75,NS.150
CA_C0169,0.95002,-0.13138,0.00206,NS.75,NS.150
CA_C0170,0.90466,-0.91428,0.00206,NS.75,NS.150
CA_C0171,1.23455,-0.22855,0.00206,NS.75,NS.150
CA_C0172,0.87949,-0.15824,0.00206,NS.75,NS.150
CA_C0173,1.81387,0.15522,0.00206,NS.75,NS.150
CA_C0174,2.09641,0.2143,0.00206,NS.75,NS.150
CA_C0175,2.13426,-0.07245,0.00206,NS.75,NS.150
CA_C0176,2.307,-0.1108,0.00206,NS.75,NS.150
CA_C0177,1.90687,0.28904,0.00206,NS.75,NS.150
CA_C0178,2.3469,0.3581,0.00206,NS.75,NS.150
CA_C0179,2.40171,0.21244,0.00206,NS.75,NS.150
CA_C0180,2.46652,0.09246,0.00206,NS.75,NS.150
CA_C0181,2.48667,0.21984,0.00206,NS.75,NS.150
CA_C0182,2.33309,-0.21379,0.00206,NS.75,NS.150
CA_C0183,2.02134,-0.49365,0.00206,NS.75,NS.150
